id;technology_id;technologyproperty_id;value
1;1;1;none
2;1;2;VMware
3;1;2;Open Stack
4;1;2;Bare Metal
5;1;3;Tungsten Cluster
6;1;3;Percona XtraDB Cluster
7;1;3;None
8;1;4;Timeout
9;1;4;Connection Drop
10;1;5;Slow Queries
11;1;5;Query Timeout
12;2;1;none
13;2;2;VMware
14;2;2;Open Stack
15;2;2;Bare Metal
16;2;3;Tungsten Cluster
17;2;3;Percona XtraDB Cluster
18;2;3;None
19;2;4;Timeout
20;2;4;Connection Drop
21;2;5;Slow Queries
22;2;5;HighCPU/Memory
23;2;5;Query Timeout
24;3;1;none
25;3;2;VMware
26;3;2;Open Stack
27;3;2;Bare Metal
28;3;4;Timeout
29;3;4;Connection Drop
30;3;5;Slow Queries
31;3;5;HighCPU/Memory
32;3;5;Query Timeout
33;4;1;none
34;4;2;VMware
35;4;2;Open Stack
36;4;2;Bare Metal
37;4;4;Timeout
38;4;4;Connection Drop
39;4;5;Slow Queries
40;4;5;HighCPU/Memory
41;4;5;Query Timeout
42;1;5;HighCPU/Memory
